Code,Quantity,Cost,Serial,Customer
I000001892,1,11000,02203NAHB00037,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00038,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00039,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00040,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00041,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00042,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00043,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00044,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00045,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00046,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00047,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00048,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00049,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00050,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00051,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00053,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00054,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00055,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00057,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00058,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00059,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00060,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00061,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00063,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00064,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00067,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00068,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00070,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00071,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00072,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00073,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00074,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00075,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00076,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00077,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00079,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00081,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00083,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00086,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00087,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00088,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00089,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00090,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00091,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00092,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00096,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00098,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00106,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00108,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00110,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00111,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00112,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00113,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00114,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00119,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00122,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00124,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00125,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00126,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00127,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00128,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00129,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00130,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00131,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00133,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00134,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00135,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00142,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00143,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00144,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00145,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00146,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00148,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00149,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00150,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00152,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00156,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00157,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00159,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00161,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00162,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00163,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00164,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00165,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00166,Roxaco Vanguard Hotels Corporation
I000001892,1,11000,02203NAHB00167,Roxaco Vanguard Hotels Corporation
